=== Start getting CPU & RAM metric ===
[2025-11-24 18:54:00] Load average is: 1 min: 1.28, 5 min: 1.38, 15 min: 1.44 | RAM: 16/9GB (6GB free) | Net interface name: en0, Send byte: 1644597, Recive byte: 1644597
[2025-11-24 18:54:01] Load average is: 1 min: 1.28, 5 min: 1.38, 15 min: 1.44 | RAM: 16/9GB (6GB free) | Net interface name: en0, Send byte: 1644597, Recive byte: 1644597
[2025-11-24 18:54:02] Load average is: 1 min: 1.98, 5 min: 1.52, 15 min: 1.49 | RAM: 16/9GB (6GB free) | Net interface name: en0, Send byte: 1644597, Recive byte: 1644597
[2025-11-24 18:54:03] Load average is: 1 min: 1.98, 5 min: 1.52, 15 min: 1.49 | RAM: 16/9GB (6GB free) | Net interface name: en0, Send byte: 1644597, Recive byte: 1644597
[2025-11-24 18:54:04] Load average is: 1 min: 1.98, 5 min: 1.52, 15 min: 1.49 | RAM: 16/9GB (6GB free) | Net interface name: en0, Send byte: 1644597, Recive byte: 1644597
[2025-11-24 18:54:05] Load average is: 1 min: 1.98, 5 min: 1.52, 15 min: 1.49 | RAM: 16/9GB (6GB free) | Net interface name: en0, Send byte: 1644597, Recive byte: 1644597
[2025-11-24 18:54:06] Load average is: 1 min: 1.98, 5 min: 1.52, 15 min: 1.49 | RAM: 16/9GB (6GB free) | Net interface name: en0, Send byte: 1644597, Recive byte: 1644597
[2025-11-24 18:54:07] Load average is: 1 min: 2.38, 5 min: 1.61, 15 min: 1.52 | RAM: 16/9GB (6GB free) | Net interface name: en0, Send byte: 1644597, Recive byte: 1644597
[2025-11-24 18:54:08] Load average is: 1 min: 2.38, 5 min: 1.61, 15 min: 1.52 | RAM: 16/9GB (6GB free) | Net interface name: en0, Send byte: 1644597, Recive byte: 1644597
[2025-11-24 18:54:10] Load average is: 1 min: 2.38, 5 min: 1.61, 15 min: 1.52 | RAM: 16/9GB (6GB free) | Net interface name: en0, Send byte: 1644597, Recive byte: 1644597
[2025-11-24 18:54:11] Load average is: 1 min: 2.38, 5 min: 1.61, 15 min: 1.52 | RAM: 16/9GB (6GB free) | Net interface name: en0, Send byte: 1644597, Recive byte: 1644597
[2025-11-24 18:54:12] Load average is: 1 min: 2.38, 5 min: 1.61, 15 min: 1.52 | RAM: 16/9GB (6GB free) | Net interface name: en0, Send byte: 1644597, Recive byte: 1644597
[2025-11-24 18:54:13] Load average is: 1 min: 2.35, 5 min: 1.62, 15 min: 1.52 | RAM: 16/9GB (6GB free) | Net interface name: en0, Send byte: 1644597, Recive byte: 1644597
[2025-11-24 18:54:14] Load average is: 1 min: 2.35, 5 min: 1.62, 15 min: 1.52 | RAM: 16/9GB (6GB free) | Net interface name: en0, Send byte: 1644597, Recive byte: 1644597
[2025-11-24 18:54:15] Load average is: 1 min: 2.35, 5 min: 1.62, 15 min: 1.52 | RAM: 16/9GB (6GB free) | Net interface name: en0, Send byte: 1644597, Recive byte: 1644597
[2025-11-24 18:54:16] Load average is: 1 min: 2.35, 5 min: 1.62, 15 min: 1.52 | RAM: 16/9GB (6GB free) | Net interface name: en0, Send byte: 1644597, Recive byte: 1644597
[2025-11-24 18:54:17] Load average is: 1 min: 2.35, 5 min: 1.62, 15 min: 1.52 | RAM: 16/9GB (6GB free) | Net interface name: en0, Send byte: 1644597, Recive byte: 1644597
[2025-11-24 18:54:18] Load average is: 1 min: 2.32, 5 min: 1.63, 15 min: 1.53 | RAM: 16/9GB (6GB free) | Net interface name: en0, Send byte: 1644597, Recive byte: 1644597
[2025-11-24 18:54:19] Load average is: 1 min: 2.32, 5 min: 1.63, 15 min: 1.53 | RAM: 16/9GB (6GB free) | Net interface name: en0, Send byte: 1644597, Recive byte: 1644597
[2025-11-24 18:54:20] Load average is: 1 min: 2.32, 5 min: 1.63, 15 min: 1.53 | RAM: 16/9GB (6GB free) | Net interface name: en0, Send byte: 1644597, Recive byte: 1644597
[2025-11-24 18:54:21] Load average is: 1 min: 2.32, 5 min: 1.63, 15 min: 1.53 | RAM: 16/9GB (6GB free) | Net interface name: en0, Send byte: 1644597, Recive byte: 1644597
[2025-11-24 18:54:22] Load average is: 1 min: 2.32, 5 min: 1.63, 15 min: 1.53 | RAM: 16/9GB (6GB free) | Net interface name: en0, Send byte: 1644597, Recive byte: 1644597
[2025-11-24 18:54:23] Load average is: 1 min: 3.10, 5 min: 1.80, 15 min: 1.59 | RAM: 16/9GB (6GB free) | Net interface name: en0, Send byte: 1644597, Recive byte: 1644597
[2025-11-24 18:54:24] Load average is: 1 min: 3.10, 5 min: 1.80, 15 min: 1.59 | RAM: 16/9GB (6GB free) | Net interface name: en0, Send byte: 1644597, Recive byte: 1644597
[2025-11-24 18:54:25] Load average is: 1 min: 3.10, 5 min: 1.80, 15 min: 1.59 | RAM: 16/9GB (6GB free) | Net interface name: en0, Send byte: 1644597, Recive byte: 1644597
[2025-11-24 18:54:26] Load average is: 1 min: 3.10, 5 min: 1.80, 15 min: 1.59 | RAM: 16/9GB (6GB free) | Net interface name: en0, Send byte: 1644597, Recive byte: 1644597
[2025-11-24 18:54:27] Load average is: 1 min: 3.10, 5 min: 1.80, 15 min: 1.59 | RAM: 16/9GB (6GB free) | Net interface name: en0, Send byte: 1644597, Recive byte: 1644597
[2025-11-24 18:54:28] Load average is: 1 min: 3.09, 5 min: 1.82, 15 min: 1.60 | RAM: 16/9GB (6GB free) | Net interface name: en0, Send byte: 1644597, Recive byte: 1644597
[2025-11-24 18:54:29] Load average is: 1 min: 3.09, 5 min: 1.82, 15 min: 1.60 | RAM: 16/9GB (6GB free) | Net interface name: en0, Send byte: 1644597, Recive byte: 1644597
[2025-11-24 18:54:30] Load average is: 1 min: 3.09, 5 min: 1.82, 15 min: 1.60 | RAM: 16/9GB (6GB free) | Net interface name: en0, Send byte: 1644597, Recive byte: 1644597
[2025-11-24 18:54:31] Load average is: 1 min: 3.09, 5 min: 1.82, 15 min: 1.60 | RAM: 16/9GB (6GB free) | Net interface name: en0, Send byte: 1644597, Recive byte: 1644597
[2025-11-24 18:54:32] Load average is: 1 min: 3.08, 5 min: 1.84, 15 min: 1.60 | RAM: 16/9GB (6GB free) | Net interface name: en0, Send byte: 1644597, Recive byte: 1644597
[2025-11-24 18:54:33] Load average is: 1 min: 3.08, 5 min: 1.84, 15 min: 1.60 | RAM: 16/9GB (6GB free) | Net interface name: en0, Send byte: 1644597, Recive byte: 1644597
[2025-11-24 18:54:34] Load average is: 1 min: 3.08, 5 min: 1.84, 15 min: 1.60 | RAM: 16/9GB (6GB free) | Net interface name: en0, Send byte: 1644597, Recive byte: 1644597
[2025-11-24 18:54:35] Load average is: 1 min: 3.08, 5 min: 1.84, 15 min: 1.60 | RAM: 16/9GB (6GB free) | Net interface name: en0, Send byte: 1644597, Recive byte: 1644597
[2025-11-24 18:54:36] Load average is: 1 min: 3.08, 5 min: 1.84, 15 min: 1.60 | RAM: 16/9GB (6GB free) | Net interface name: en0, Send byte: 1644597, Recive byte: 1644597
[2025-11-24 18:54:37] Load average is: 1 min: 2.99, 5 min: 1.84, 15 min: 1.60 | RAM: 16/9GB (6GB free) | Net interface name: en0, Send byte: 1644597, Recive byte: 1644597
[2025-11-24 18:54:38] Load average is: 1 min: 2.99, 5 min: 1.84, 15 min: 1.60 | RAM: 16/9GB (6GB free) | Net interface name: en0, Send byte: 1644597, Recive byte: 1644597

=== END ===
